Price,Square_footage,Lot_Size,No_Bedrooms,Distance_Love fieldAirport,Distance_nearst highway
1799000,4710,20473.2,3,5.8,2.3
3450000,7297,18730.8,3,6.9,1.6
1799000,4791,12196.8,4,8.3,2.5
3595000,6889,16552.8,6,7.1,2.7
5950000,7683,18730.8,5,5.6,2.6
3780000,6199,16117.2,5,8,0.8
1099000,2928,7623,3,5.7,1.6
3850000,7136,16117.2,5,7.2,1.4
2895000,9142,19166.4,6,5.6,1.8
1150000,4438,8537,3,7,1
1524000,4232,16117.2,4,8.1,0.7
1300000,3906,5140,3,9.3,1.1
1893000,3712,12196.8,3,8.4,1.5
2790000,6653,16117.2,5,7.3,1.7
2700000,6033,10062,5,5.2,0.4
2850000,6240,9234,6,2.9,1
1875000,3632,13068,4,7.4,1
1399000,3670,15246,5,7.1,1.4
3095000,5586,9713,5,5.5,0.3
1349000,3393,13503.6,4,6.7,1
2400000,5048,8058,4,7.1,1.2
1299000,3095,13068,4,6.8,1.2
1850000,3906,7927,2,8.1,1.5
2399000,6989,20037.6,7,8.6,1
1374000,3023,16988.4,3,7.9,2.3
2600000,5468,9888,4,5.4,0.4
1600000,3220,16552.8,4,7.1,2.5
2695000,5820,18730.8,5,6.8,1.9
2495000,4957,9583,4,5.3,0.4
2250000,4400,17859.6,4,8.7,1.1
